mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
f0:9f:c2:02:5c:eb,RohdeCorp Labs,Home,1,0,True,5G,Shasta,1394,-31,-28,300.0,300.0,288126,36750788,755587,1130761557,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
f0:35:75:b0:a7:4e,Intello Labs,Casting Simulation,1,0,True,5G,Shasta Casting,2044,-50,-46,400.0,360.0,1181,169103,752,609977,D-3001,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
72:e2:88:27:fe:4a,Cradlepoint Labs,Lab,1,0,True,5G,Shasta-EAP102,2252292,-36,-35,400.0,400.0,485178,68797692,536762,528800617,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
9e:f1:60:e3:bc:97,TekSecute Labs,CJ Lab,1,0,True,5G,127.0.0.1,623,-60,-46,72.2,43.3,40,3419,14,1869,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
82:58:af:73:e4:f5,DevRev,DevRev HQ,1,0,True,5G,devrev,352,-87,-85,36.0,12.0,1199,381274,3436,3265858,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:78:17:8a:8f:60,DevRev,DevRev HQ,37,0,True,5G,devrev,72,-86,-87,72.0,72.0,1671,558120,1534,740804,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
be:64:3e:46:2d:3d,Tims Lab,Tim C Lab,1,0,True,5G,TestShasta,6480,-42,-42,115.6,200.0,200719,130342576,355827,425742327,,CAN_STEER,2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
ca:d7:78:b2:9e:16,DevRev,DevRev HQ,1,0,True,5G,devrev,17304,-48,-52,650.0,433.3,9094,2422719,15542,11562967,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
86:94:59:0b:80:98,DevRev,DevRev HQ,19,0,True,5G,devrev,166,-47,-58,1200.9,720.6,17,1173,10,2565,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
bc:d0:74:66:0a:bc,DevRev,DevRev HQ,19,0,True,5G,devrev,171,-54,-53,1200.9,1200.9,30590,22825729,35128,31614321,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
