mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,588214,-66,-61,433.3,433.3,1908481,193817423,2047000,312595747,,CAN_STEER,3,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,113579,-42,-50,48.0,866.7,1728987,178539509,15227899,22682374162,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,22585,-49,-55,286.7,1200.9,146174,111277560,741106,923185906,,CAN_STEER,2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
62:34:01:52:1e:34,Ducky's Legal Services,Ducky's San Ramon,19,0,True,5G,pw-shasta-6G,1219,-71,-71,72.2,65.0,22,1668,20,2235,,MAX_REACHED,3,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,588803,-43,-40,72.2,72.2,76001,19917562,49035,3571485,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,576678,-23,-24,72.2,72.2,118256,10681834,66037,7874439,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
94:3c:c6:64:2e:2c,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,70815,-54,-67,65.0,65.0,15980,777598,7625,1219419,,BACKOFF,1,True,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,914877,-52,-50,866.7,780.0,423166,83362155,629486,261589505,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,910716,-66,-66,960.7,1200.9,27147941,13719988969,43344866,28519859510,,CAN_STEER,3,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
06:4e:65:6c:f6:7a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,30521,-63,-70,864.8,960.7,20104,3587381,260725,312832392,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,1,0,True,2G,430 Dandy,21525,-65,-62,65.0,72.2,5031476,6138031909,2923114,194001943,,CAN_STEER,3,True,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
5c:47:5e:47:f1:19,Duffy LLC,Duffy Barn,1,0,True,2G,Riverside,23782,-59,-59,11.0,52.0,7904,2853597,7238,586250,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
5c:60:ba:52:1f:78,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,915059,-58,-58,234.0,433.3,172450,25362459,254040,77767198,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
58:9a:3e:89:ee:df,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,915040,-68,-67,585.1,650.0,5029655,551902846,5078937,1055768775,,CAN_STEER,3,True,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:51:ed:f8:58:5a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,816202,-63,-70,526.6,650.0,3096997,324056771,25934993,35631899981,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
