mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,581775,-67,-60,433.3,433.3,1887748,191761280,2024733,308913225,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,107140,-42,-50,48.0,585.0,1676031,172509924,14809203,22063488215,,CAN_STEER,3,True,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,16146,-46,-53,286.7,1080.6,133163,108824567,649941,813074196,,CAN_STEER,2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,582364,-42,-39,72.2,72.2,75263,19704198,48550,3538179,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,570239,-19,-24,57.8,72.2,116938,10561901,65268,7783857,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
94:3c:c6:64:2e:2c,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,64376,-54,-56,65.0,72.2,14997,724802,7198,1162730,,BACKOFF,1,True,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,908386,-53,-50,866.7,780.0,418863,82564332,624820,260028939,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,904225,-59,-66,1080.6,1200.9,26978497,13690290834,42759681,28280138314,,CAN_STEER,3,True,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
06:4e:65:6c:f6:7a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,24030,-63,-70,960.7,1080.6,17430,3117631,256660,311205873,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
ea:5b:e6:00:f2:ec,Shasta NorthEast,Shasta HQ,19,0,True,5G,Household,281,-69,-78,576.4,480.3,1208,226731,1392,829798,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,1,0,True,2G,Household,56800,-70,-69,72.2,65.0,13330,2751273,14511,8896904,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,False
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,1,0,True,2G,430 Dandy,15092,-62,-62,43.3,72.2,3467518,4202506963,2012212,133564084,,CAN_STEER,3,True,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
5c:47:5e:47:f1:19,Duffy LLC,Duffy Barn,1,0,True,2G,Riverside,17289,-59,-59,11.0,43.3,5869,2235768,5384,448312,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
