mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,576660,-65,-60,433.3,433.3,1871916,190125481,2007804,306390928,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,102025,-51,-50,866.7,468.0,1431345,147496747,12757336,18989934832,,CAN_STEER,3,True,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,11031,-44,-53,286.7,1080.6,125709,107234363,624561,787125786,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,577249,-43,-40,72.2,72.2,74649,19535068,48127,3508559,,MAX_REACHED,1,True,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,565124,-26,-25,43.3,72.2,115890,10469343,64682,7714090,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
94:3c:c6:64:2e:2c,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,59261,-55,-56,72.2,65.0,13205,648321,6324,997403,,BACKOFF,1,True,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
62:34:01:52:1e:34,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,False,,,0,0,0,0,0,0,0,0,0,,CAN_STEER,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
62:34:01:52:1e:34,Ducky's Legal Services,Ducky's San Ramon,903cb3bb1da5,SR-AP-04-Gst,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,pw-shasta-6G,455,-69,-71,72.2,28.9,28,2762,26,3395,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,903277,-52,-50,866.7,866.7,415923,82054558,621852,259052962,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,899116,-65,-66,864.8,1200.9,26872215,13669829023,42607123,28193933952,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
