mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,504273,-65,-59,433.3,433.3,1637078,166350732,1756102,268462485,,CAN_STEER,3,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,29638,-51,-52,866.7,702.0,817023,81390226,7359509,10986356835,,CAN_STEER,3,True,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,23959,-46,-52,286.7,960.7,109984,95983918,368480,440716406,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,504862,-45,-41,72.2,72.2,66636,17215992,43022,3154083,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,492737,-27,-24,65.0,72.2,101082,9133894,56376,6721114,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,830910,-53,-51,866.7,780.0,370614,73741516,541463,210523531,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,826749,-60,-69,864.8,12.0,21512499,10685634599,34884769,24062861506,,CAN_STEER,3,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,3650,-62,-63,960.7,960.7,21662,21041725,19123,18908683,,MAX_REACHED,3,True,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbe4e,Tuttle Basement EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,3,False,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbf2a,Tuttle Living Room EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,3,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
