mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
cccf83eabf88,HQ-WF186W,Intello Labs,VXLanLab,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 21,684173,7.92,6,0.430182,0.261234,0.250492,72.02,27.98,2,4,0,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-76.682728,1,1000,full
cccf83eabfe8,WF-186H-DF,Steve's house,Steve's house,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,64219,0.74,6,0.052735,0.17969,0.232425,50.13,49.87,1,4,4,6,40,149,80,0,0,6,149,unknown,40,80,unknown,-99.682728,1,1000,full
cccf83eac450,BackyardAP,Tim,TRaceHome,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,154117,1.78,6,0.219242,0.25391,0.265141,48.5,51.5,2,4,1,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-114.682728,1,1000,full
d077cebd62f8,DuffyBarnSwitchNew,Duffy LLC,Duffy Barn,edgecore_ecs4125,2.9.18r.241,1437905,16.64,-1,0.029965819790959358,0.030854491516947746,0.03199218586087227,27.64,72.36,10,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-117.682728,-1,-1,-1
d077cebd6518,DC-SW-01,Ducky's Legal Services,Ducky's Daily City,edgecore_ecs4125,2.9.18r.241,1440875,16.68,-1,0.033149413764476776,0.0332666002213955,0.032890625298023224,28.96,71.04,10,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-93.682728,-1,-1,-1
d4babaa15000,DC-AP-02-wf196,Ducky's Legal Services,Ducky's Daily City,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,501654,5.81,1,0,0,0,15.52,84.48,1,0,0,0,0,0,0,0,0,auto,auto,1,20,80,160,-127.682728,1,1000,full
d4babaa150a0,WF-196,Steve's house,Default Venue,cig_wf196,Shasta-AP-NOS Rel 2.2 build 19,25907,0.3,1,0.066896,0.047852,0.007324,16.4,83.6,1,0,0,0,0,0,0,0,0,auto,auto,auto,20,40,80,-100.682728,1,2500,full
d4babaa15440,SR-AP-02-Liv,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,585169,6.77,2,0.003906,0.020508,0,16.8,83.2,2,7,9,6,20,36,80,1,160,auto,auto,1,20,80,160,-117.682728,1,2500,full
d4babaa155a0,newWF-196,Erez home,Erez SF,cig_wf196,Shasta-AP-NOS Rel 2.2 build 21,748722,8.67,2,0.010742,0.06006,0.024903,20.84,79.16,1,6,5,6,40,116,80,9,160,auto,auto,9,40,80,160,-145.682728,1,1000,full
d4babaa17610,newWF-186H,Erez home,Erez SF,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 21,748711,8.67,10,0.272953,0.25391,0.260746,50.44,49.56,1,4,0,1,40,52,80,0,0,auto,auto,unknown,40,80,unknown,-138.682728,1,1000,full
e001a6807be0,newEAP102,Erez home,Erez SF backhaul,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,750589,8.69,2,0.142092,0.096681,0.049317,23.66,76.34,1,2,2,11,40,149,80,0,0,auto,auto,unknown,40,80,unknown,-118.682728,1,1000,full
e49d731c0aa6,EAP-104-DF,Steve's house,Default Venue,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 19,1311844,15.18,3,0.139162,0.183108,0.177737,49.86,50.14,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,40,unknown,-129.682728,1,1000,full
e49d731c0b5c,DC-AP-04-e104,Ducky's Legal Services,Ducky's Daily City,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,585161,6.77,3,0.134279,0.183597,0.175784,45.91,54.09,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-121.682728,1,1000,full
e49d731c0c51,e49d731c0c51,unknown,unknown,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,676,0.01,4,0.266117,0.388678,0.279301,43.72,56.28,2,2,0,1,20,108,40,0,0,auto,auto,unknown,20,40,unknown,-103.682728,1,100,full
e49d731c0e0a,TreehouseAP,Tim,TRaceHome,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,154132,1.78,5,0.119142,0.176761,0.223636,46.32,53.68,2,4,0,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-127.682728,1,1000,full
