mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,584548,6.77,2,0.006836,0.049317,0.005859,16.87,83.13,2,7,6,6,20,149,80,1,160,auto,auto,1,20,80,160,18.283376,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908224,10.51,2,0.046876,0.030762,0.004883,21.84,78.16,1,2,4,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-21.716624,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,683641,7.91,2,0.104005,0.05713,0.007324,29.93,70.07,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-25.716624,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907966,10.51,2,0.024903,0.042969,0,30.55,69.45,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-6.716624,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,582305,6.74,1,0.002441,0.018067,0,20.2,79.8,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-13.716624,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,153497,1.78,2,0.001465,0.02002,0,20.38,79.62,1,2,1,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-32.716624,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908208,10.51,3,0.013672,0.027344,0.000488,25.67,74.33,1,2,8,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-4.716624,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,152959,1.77,3,0.015137,0.055665,0.023438,20.74,79.26,2,4,14,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-5.716624,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908223,10.51,3,0.010742,0.067384,0.07715,25.65,74.35,1,2,6,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-20.716624,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907975,10.51,2,0.000488,0.032227,0,30.66,69.34,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-14.716624,1,1000,full
14448fd58129,Dandy Main Floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907979,10.51,2,0,0.015137,0,30.64,69.36,1,4,7,6,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-27.716624,1,1000,full
24fe9a0f481c,SA-AP-01-cta1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,501084,5.8,2,0.221683,0.234379,0.190433,42.82,57.18,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-47.716624,1,1000,full
24fe9a0f51b9,SA-AP-02-ctb1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 22,584582,6.77,2,0.198734,0.190921,0.181643,45.7,54.3,2,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-24.716624,1,1000,full
24fe9a0f5ae5,BasementAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,153528,1.78,4,0.140139,0.219242,0.207034,45.91,54.09,2,4,9,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-11.716624,1,1000,full
24fe9a0f5b55,FamilyRmAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,153182,1.77,14,0.439948,0.382818,0.386236,45.63,54.37,2,4,8,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-39.716624,1,1000,full
24fe9a0f5c19,Garage AP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,153989,1.78,11,0.641123,0.485847,0.390631,45.82,54.18,2,4,11,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-33.716624,1,1000,full
24fe9a0f6141,CyberTANWallDemo,Intello Labs,APtestingLab,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 21,58915,0.68,4,0.226566,0.250004,0.199222,46.68,53.32,1,4,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-65.716624,1,1000,full
902d770c4e60,LabECS4150,Tim,TRaceHome,edgecore_ecs4150,3.2.57r.241,154028,1.78,-1,0.0036132812965661287,0.002402343787252903,0.0019628906156867743,51.56,48.44,28,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-16.716624,-1,-1,-1
903cb32d3044,EAP-101-Dev-1,Marek,Development,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,25570,0.3,1,0,0,0,18.73,81.27,2,2,0,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-25.716624,1,1000,full
903cb32d352b,Unit5,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1161202,13.44,2,0,0,0,19.44,80.56,1,2,1,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-23.716624,1,1000,full
