mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,507527,5.87,2,0.033204,0.041993,0.015137,16.66,83.34,2,7,5,6,20,149,80,1,160,auto,auto,1,20,80,160,-1.555178,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831169,9.62,2,0.061524,0.025879,0.003906,23.05,76.95,1,2,3,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-7.555178,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,606547,7.02,3,0.04004,0.074708,0.015137,29.35,70.65,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,27.444822,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,830888,9.62,2,0.046876,0.094728,0.034668,29.73,70.27,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,30.444822,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,505242,5.85,2,0,0.007813,0,20.19,79.81,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,8.444822,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,76423,0.88,1,0.032715,0.038087,0,20.42,79.58,1,2,2,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,1.444822,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831127,9.62,2,0.068849,0.085451,0.026856,25.26,74.74,1,2,9,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,35.444822,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,75901,0.88,3,0.045899,0.05713,0.013184,21.01,78.99,2,4,11,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,12.444822,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831142,9.62,3,0.018555,0.026368,0.003906,25.21,74.79,1,2,7,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,20.444822,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,830949,9.62,2,0.173342,0.073243,0.024903,29.82,70.18,1,4,4,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-29.555178,1,1000,full
14448fd58129,Dandy Main Floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,830886,9.62,2,0.082033,0.053712,0.007324,29.82,70.18,1,4,7,6,20,149,80,0,0,auto,auto,unknown,20,80,unknown,23.444822,1,1000,full
24fe9a0f481c,SA-AP-01-cta1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,424009,4.91,2,0.121584,0.12549,0.115236,42.77,57.23,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-13.555178,1,1000,full
