mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,508610,5.89,2,0.015137,0.042969,0.003906,16.64,83.36,2,7,5,6,20,149,80,1,160,auto,auto,1,20,80,160,3.158071,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832251,9.63,2,0.041993,0.045411,0.002441,22.48,77.52,1,2,2,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-0.841929,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,607631,7.03,3,0.104982,0.062501,0.004883,29.36,70.64,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,31.158071,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832030,9.63,2,0.095216,0.048829,0.004395,29.78,70.22,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-22.841929,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,506324,5.86,2,0,0.013184,0,20.2,79.8,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,15.158071,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,77505,0.9,2,0,0.022461,0,20.32,79.68,1,2,2,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,8.158071,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832270,9.63,2,0.059571,0.086915,0.046876,25.25,74.75,1,2,11,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-18.841929,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,76984,0.89,2,0.171389,0.110353,0.03125,21.07,78.93,2,4,11,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,17.158071,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832285,9.63,2,0.030762,0.051759,0.006836,25.24,74.76,1,2,5,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-33.841929,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832032,9.63,3,0.039063,0.071778,0.02002,29.84,70.16,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-23.841929,1,1000,full
