mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,505356,-65,-59,433.3,433.3,1640357,166648566,1759707,268990811,,CAN_STEER,3,True,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,30721,-51,-52,866.7,780.0,829908,83090284,7558061,11284148003,,CAN_STEER,3,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,25042,-44,-53,286.7,1080.6,112580,96507204,372240,443188855,,CAN_STEER,2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,505945,-43,-40,48.0,72.2,66750,17247955,43097,3159278,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,493820,-30,-25,65.0,72.2,101304,9153651,56503,6736450,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,831992,-53,-50,866.7,780.0,371457,73917022,542969,211089718,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,827831,-69,-69,960.7,1200.9,21515249,10686215933,34887998,24064671115,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,3,False,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbe4e,Tuttle Basement EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,1048,-71,-74,360.3,12.0,6763,3646218,12976,13129703,,MAX_REACHED,3,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,14448f1fbf2a,Tuttle Living Room EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,3,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,1,False,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,14448f1fbe4e,Tuttle Basement EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,2G,Household,573,-70,-74,72.2,43.3,27,2169,12,1504,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,14448f1fbf2a,Tuttle Living Room EAP 102,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,False,,,0,0,0,0,0,0,0,0,0,,MAX_REACHED,1,False,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,False
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,14448f1fbe2a,Dandy Back Porch,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,2G,430 Dandy,831610,-65,-64,65.0,72.2,233575473,298583262420,125493672,8325478184,,CAN_STEER,3,True,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
5c:47:5e:47:f1:19,Duffy LLC,Duffy Barn,14448f1fbe4a,Duffy Barn AP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,True,2G,Riverside,77277,-59,-59,11.0,52.0,29197,14787223,22370,2772310,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
