mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,508128,5.88,3,0.087404,0.055177,0.014649,16.67,83.33,2,7,5,6,20,149,80,1,160,auto,auto,1,20,80,160,39.000365,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831770,9.63,2,0.102541,0.059571,0.009766,22.84,77.16,1,2,2,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,34.000365,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,607210,7.03,3,0.005371,0.036622,0,29.29,70.71,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,7.000365,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831549,9.62,3,0.056153,0.014649,0.003418,29.78,70.22,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,12.000365,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,505903,5.86,2,0.080079,0.016602,0.005371,20.19,79.81,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-9.999635,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,77084,0.89,2,0.050294,0.046387,0.005859,20.31,79.69,1,2,2,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-16.999635,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831788,9.63,3,0.383795,0.166018,0.047364,25.15,74.85,1,2,11,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,16.000365,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,76563,0.89,3,0.020508,0.052247,0.002441,21.07,78.93,2,4,11,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-7.999635,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831804,9.63,3,0,0.012696,0,25.24,74.76,1,2,5,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,1.000365,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,831551,9.62,3,0.050294,0.036133,0.001953,29.78,70.22,1,4,4,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,11.000365,1,1000,full
