mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,581053,-61,-60,48.0,200.0,1885450,191461155,2022379,308559543,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,106418,-50,-50,866.7,526.6,1639868,168861712,14520213,21630351887,,CAN_STEER,3,True,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,15424,-46,-53,286.7,1200.9,132868,108748529,649632,812964854,,CAN_STEER,2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,581642,-41,-39,72.2,72.2,75195,19685129,48510,3535368,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,569517,-27,-24,43.3,65.0,116791,10549031,65186,7774086,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
94:3c:c6:64:2e:2c,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,63654,-54,-57,58.5,65.0,14916,719924,7165,1160093,,BACKOFF,1,True,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,907665,-52,-50,866.7,780.0,418278,82445714,624235,259800848,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,903504,-65,-66,864.8,1200.9,26963449,13687259760,42735712,28265893719,,CAN_STEER,3,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
06:4e:65:6c:f6:7a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,23309,-64,-70,960.7,960.7,17052,3054122,256169,311036744,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,1,0,True,2G,Household,56079,-71,-70,58.5,58.5,13091,2705966,14266,8789007,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,False
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,1,0,True,2G,430 Dandy,14370,-64,-62,72.2,72.2,3308385,4013160891,1919686,127421246,,CAN_STEER,3,True,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
5c:47:5e:47:f1:19,Duffy LLC,Duffy Barn,1,0,True,2G,Riverside,16568,-59,-59,11.0,72.2,5698,2227362,5224,438588,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
5c:60:ba:52:1f:78,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,907904,-59,-61,390.0,433.3,171147,25129894,252291,77259259,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
58:9a:3e:89:ee:df,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,907885,-67,-64,650.0,866.7,4987200,546658808,5006684,997965626,,CAN_STEER,3,True,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:51:ed:f8:58:5a,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,809047,-62,-70,526.6,650.0,3096996,324056729,25934971,35631899409,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
cc:f7:35:87:df:99,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,686472,-79,-76,234.0,292.6,2091230,264164203,2840121,1533763056,,MAX_REACHED,3,True,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False,False,False,False,False,False
4a:75:70:1b:8e:eb,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,209981,-59,-66,720.6,720.6,510653,142225212,2914201,3715789566,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,35921,-68,-74,626.9,720.6,484409,486290529,1038935,1266277576,,MAX_REACHED,3,True,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,True,True,True,True,True
60:ab:14:a3:fa:cc,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,28265,-39,-46,866.7,866.7,247,57500,250,54502,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
ac:8b:a9:8f:78:3d,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,13662,-68,-67,72.2,72.2,3555951,4340385904,1915735,127098528,,CAN_STEER,3,True,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
f4:e2:c6:0f:3a:f3,Tim,TRaceHome,1,0,True,2G,lake,152057,-72,-71,72.2,43.3,43092374,45008677683,29075421,1948266427,,CAN_STEER,3,True,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
48:a2:e6:9e:ea:b2,Tim,TRaceHome,1,0,True,2G,lake,111555,-59,-59,65.0,65.0,38747,2510933,29526,2656895,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
50:8a:06:28:f1:b4,Tim,TRaceHome,1,0,True,2G,lake,111457,-64,-62,43.3,72.2,36336,5987971,15788,1285268,,CAN_STEER,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
