mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,584307,6.76,3,0.151369,0.07129,0.012207,16.78,83.22,2,7,6,6,20,149,80,1,160,auto,auto,1,20,80,160,2.379059,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907924,10.51,2,0,0,0,21.82,78.18,1,2,4,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,22.379059,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,683340,7.91,2,0.003906,0.039551,0.013184,29.92,70.08,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,19.379059,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907726,10.51,2,0.028321,0.040528,0,30.55,69.45,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,-22.620941,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,582004,6.74,1,0.063966,0.042481,0.005859,20.23,79.77,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,30.379059,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,153197,1.77,2,0.129397,0.052247,0.007324,20.41,79.59,1,2,1,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,12.379059,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907967,10.51,3,0,0.014649,0,25.64,74.36,1,2,8,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-20.620941,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,152719,1.77,3,0.072755,0.09424,0.035157,20.7,79.3,2,4,14,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-20.620941,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907983,10.51,3,0.104005,0.106447,0.087404,25.68,74.32,1,2,6,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-35.620941,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,907735,10.51,2,0.087404,0.072755,0.011719,30.62,69.38,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-30.620941,1,1000,full
