mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,579914,6.71,3,0.097658,0.075685,0.010254,16.87,83.13,2,7,6,6,20,149,80,1,160,auto,auto,1,20,80,160,-11.98466,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903536,10.46,2,0.086427,0.030274,0.004883,21.81,78.19,1,2,4,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,3.01534,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,678947,7.86,2,0.004883,0.011231,0,29.88,70.12,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,4.01534,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903276,10.45,2,0,0.01709,0,30.5,69.5,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,19.01534,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,577616,6.69,2,0,0.014649,0,20.19,79.81,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,11.01534,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,148808,1.72,2,0.05127,0.020996,0.00293,20.37,79.63,1,2,1,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-5.98466,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903518,10.46,2,0.045899,0.046387,0.001953,25.62,74.38,1,2,8,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,22.01534,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,148324,1.72,3,0.099611,0.053712,0.004883,21.12,78.88,2,4,12,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-32.98466,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903534,10.46,3,0.029786,0.053712,0.000977,25.61,74.39,1,2,6,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,6.01534,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903285,10.45,2,0.029297,0.049805,0,30.6,69.4,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,12.01534,1,1000,full
14448fd58129,Dandy Main Floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,903288,10.45,2,0.143557,0.056153,0.013184,30.59,69.41,1,4,7,6,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-0.98466,1,1000,full
24fe9a0f481c,SA-AP-01-cta1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,496391,5.75,2,0.405768,0.255863,0.198245,42.78,57.22,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-17.98466,1,1000,full
24fe9a0f51b9,SA-AP-02-ctb1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 22,579882,6.71,2,0.107912,0.134768,0.152834,45.71,54.29,2,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,11.01534,1,1000,full
24fe9a0f5ae5,BasementAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,148881,1.72,4,0.214847,0.258793,0.208011,45.98,54.02,2,4,9,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-26.98466,1,1000,full
24fe9a0f5b55,FamilyRmAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,148520,1.72,18,0.181155,0.449714,0.489265,46.63,53.37,2,4,8,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-40.98466,1,1000,full
24fe9a0f5c19,Garage AP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,149335,1.73,11,0.3252,0.305669,0.330571,45.76,54.24,2,4,11,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-41.98466,1,1000,full
24fe9a0f6141,CyberTANWallDemo,Intello Labs,APtestingLab,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 21,54213,0.63,5,0.190921,0.229984,0.253422,46.49,53.51,1,4,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-26.98466,1,1000,full
902d770c4e60,LabECS4150,Tim,TRaceHome,edgecore_ecs4150,3.2.57r.241,149354,1.73,-1,0.0020410155411809683,0.0022558593191206455,0.0018896483816206455,51.56,48.44,28,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-5.98466,-1,-1,-1
903cb32d3044,EAP-101-Dev-1,Marek,Development,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,20885,0.24,2,0,0,0,18.76,81.24,2,2,0,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-3.98466,1,1000,full
903cb32d352b,Unit5,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1156570,13.39,1,0.009277,0.035645,0,19.44,80.56,1,2,1,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-55.98466,1,1000,full
903cb36ae4d0,Unit6,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1156634,13.39,1,0.080079,0.016602,0.005371,19.78,80.22,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-56.98466,1,100,full
903cb36ae615,Unit9,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1156626,13.39,1,0.006836,0.004395,0,19.26,80.74,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-39.98466,1,1000,full
903cb36c40bd,AP-40BD,Truminds-BUS,Default Venue,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 17,349260,4.04,1,0.073732,0.016114,0.004883,18.53,81.47,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-51.98466,1,1000,full
903cb36c4108,Unit3,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1156628,13.39,1,0,0,0,19.21,80.79,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-59.98466,1,1000,full
