mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,509392,5.9,3,0.009766,0.028809,0,16.71,83.29,2,7,5,6,20,149,80,1,160,auto,auto,1,20,80,160,47.740588,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,833032,9.64,2,0.046387,0.033692,0.001953,22.38,77.62,1,2,2,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,44.740588,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,608475,7.04,3,0.046876,0.078126,0.017578,29.39,70.61,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,14.740588,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832812,9.64,2,0.215824,0.109865,0.029297,29.76,70.24,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,21.740588,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,507165,5.87,1,0.024414,0.048341,0.005859,20.19,79.81,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-0.259412,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,78346,0.91,2,0.042481,0.030274,0.001465,20.28,79.72,1,2,2,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-7.259412,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,833051,9.64,2,0.134768,0.036133,0.009766,25.27,74.73,1,2,11,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,26.740588,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,77827,0.9,2,0.099123,0.08838,0.024903,21.03,78.97,2,4,10,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,0.740588,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,833066,9.64,3,0.072267,0.107912,0.039063,25.24,74.76,1,2,6,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,10.740588,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832813,9.64,3,0.003906,0.02002,0,29.82,70.18,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,21.740588,1,1000,full
14448fd58129,Dandy Main Floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,832810,9.64,2,0.003418,0.029786,0,29.83,70.17,1,4,7,6,20,149,80,0,0,auto,auto,unknown,20,80,unknown,14.740588,1,1000,full
24fe9a0f481c,SA-AP-01-cta1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,425935,4.93,2,0.25684,0.172366,0.146975,42.7,57.3,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-23.259412,1,1000,full
24fe9a0f51b9,SA-AP-02-ctb1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 22,509457,5.9,3,0.15967,0.155276,0.161135,45.71,54.29,2,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-25.259412,1,1000,full
24fe9a0f5ae5,BasementAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,78376,0.91,5,0.139162,0.224613,0.235355,46.79,53.21,2,4,6,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,14.740588,1,1000,full
24fe9a0f5b55,FamilyRmAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,78014,0.9,16,0.224125,0.375006,0.420905,45.67,54.33,2,4,9,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,2.740588,1,1000,full
24fe9a0f5c19,Garage AP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,78848,0.91,11,0.354498,0.336431,0.311528,45.68,54.32,2,4,10,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-18.259412,1,1000,full
24fe9a0f6141,CyberTANWallDemo,Intello Labs,APtestingLab,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 21,609079,7.05,5,0.098146,0.211429,0.200687,56.27,43.73,1,4,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,7.740588,1,100,full
902d770c4e60,LabECS4150,Tim,TRaceHome,edgecore_ecs4150,3.2.57r.241,78903,0.91,-1,0.0017333984142169356,0.0015283203683793545,0.0016845703357830644,51.43,48.57,28,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-19.259412,-1,-1,-1
903cb32d3044,EAP-101-Dev-1,Marek,Development,edgecore_eap101,OpenWrt 23.05-SNAPSHOT r23485+68-e92cf0c46f / TIP-devel-77600779,150157,1.74,1,0,0,0,24.59,75.41,2,2,0,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-29.259412,1,1000,full
903cb32d352b,Unit5,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086091,12.57,2,0.05127,0.030274,0.002441,19.28,80.72,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-39.259412,1,1000,full
903cb36ae4d0,Unit6,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086161,12.57,1,0.002441,0.011719,0,20.02,79.98,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-46.259412,1,100,full
903cb36ae615,Unit9,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086147,12.57,1,0,0,0,19.26,80.74,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-24.259412,1,1000,full
903cb36c40bd,AP-40BD,Truminds-BUS,Default Venue,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 17,278794,3.23,1,0.005859,0.021973,0,18.29,81.71,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-48.259412,1,1000,full
903cb36c4108,Unit3,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086149,12.57,1,0.035157,0.055177,0.007324,19.24,80.76,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-44.259412,1,1000,full
903cb36c427f,Unit1,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086089,12.57,1,0.035645,0.033692,0.001465,19.31,80.69,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-19.259412,1,1000,full
903cb36c44f5,eap101,Erez home,Erez SF,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 21,472633,5.47,2,0.061524,0.055665,0.010254,23.14,76.86,1,4,1,1,40,52,80,0,0,auto,auto,unknown,40,80,unknown,-40.259412,1,1000,full
903cb3b16a64,Unit4,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086096,12.57,1,0.07715,0.025879,0.003418,19.34,80.66,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-17.259412,1,1000,full
903cb3b16a8c,Unit2,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086145,12.57,1,0.032715,0.011719,0.000488,19.38,80.62,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-49.259412,1,1000,full
903cb3b16e47,Eap101DS,Erez home,Tel AViv,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4702902,54.43,1,0,0,0,20.98,79.02,1,4,2,1,20,36,80,0,0,1,auto,unknown,20,80,unknown,-68.259412,1,1000,full
903cb3b17013,Puneet's Home,Shasta,Default Venue,edgecore_eap101,Shasta-AP-NOS Rel 1.5 build 39,539286,6.24,1,0,0,0,17.44,82.56,1,1,0,11,20,0,0,0,0,auto,unknown,unknown,20,unknown,unknown,-29.259412,1,1000,full
903cb3b17130,Unit7,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086484,12.58,1,0,0,0,20.07,79.93,1,2,1,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-46.259412,1,100,full
903cb3bb1c5b,SR-AP-03-Dwn,Ducky's Legal Services,Ducky's San Ramon,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,425985,4.93,1,0.070314,0.036622,0.003418,19.1,80.9,2,6,4,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-74.259412,1,1000,full
903cb3bb1d4b,Eap101BRT,Erez home,Tel AViv,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,1895452,21.94,1,0.00293,0.000977,0,18.63,81.37,1,4,1,1,20,36,80,0,0,1,auto,unknown,20,80,unknown,-51.259412,1,1000,full
903cb3bb1da5,SR-AP-04-Gst,Ducky's Legal Services,Ducky's San Ramon,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,509471,5.9,2,0.104005,0.042969,0.008301,19.07,80.93,2,6,17,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-35.259412,1,2500,full
903cb3bb1edb,Unit8,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1086142,12.57,2,0.05127,0.01416,0.00293,19.22,80.78,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-54.259412,1,1000,full
