mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,591468,6.85,2,0.009766,0.012207,0,16.81,83.19,2,7,7,6,20,149,80,1,160,auto,auto,1,20,80,160,37.037027,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,915136,10.59,2,0,0.004883,0,21.78,78.22,1,2,3,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,6.037027,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,690560,7.99,2,0.097658,0.085939,0.025879,30.05,69.95,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-5.962973,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,914880,10.59,2,0.124025,0.055665,0.008789,30.61,69.39,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,19.037027,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,589218,6.82,1,0.020508,0.045899,0.001953,20.22,79.78,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,13.037027,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,160411,1.86,2,0.008301,0.02295,0,20.43,79.57,1,2,1,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-5.962973,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,915122,10.59,2,0.000488,0.032715,0.06006,25.69,74.31,1,2,9,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,20.037027,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,159885,1.85,2,0.087404,0.050782,0.005371,21.17,78.83,2,4,12,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,8.037027,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,915138,10.59,3,0.303716,0.159182,0.066896,25.6,74.4,1,2,6,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,5.037027,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,914890,10.59,3,0.038087,0.044923,0.001953,30.72,69.28,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,10.037027,1,1000,full
