mac,name,org,venue,model,firmware,band,on-chan,channel,noise_floor,active_ms,busy_ms,busy_self_ms,busy_tx_ms,last_on_chan_secs_go,rrm_airtime_pct,agg_15m_active_ms,agg_15m_busy_ms,agg_15m_busy_self_ms,agg_15m_busy_tx_ms,agg_15m_num_samples
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,True,36,-108,7125,1287,17,67,-1,14,7087.84,1148.27,33.3286,91.6948,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,44,-108,13,1,0,0,-1,12.5547,15.1433,2.724,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,149,-106,16,5,0,0,-1,31.5707,15.7003,5.05635,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,157,-106,14,4,0,0,-1,33.273,15.2192,5.20053,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,True,1,-101,7044,1750,15,111,-1,26,7080.85,1843.46,24.3563,141.265,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,False,6,-99,17,8,0,0,-1,48.744,48.2248,13.2578,0.030864,0.356497,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,False,11,-99,15,6,0,0,-1,44.4551,16.9953,6.09319,0,0,180
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,True,36,-109,7007,1062,67,148,-1,14,7084.3,1139.94,93.5769,213.888,180
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,44,-108,13,3,0,0,-1,27.1572,14.8698,3.93125,0,0,180
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,149,-106,17,5,0,0,-1,29.9406,16.1306,4.74895,0,0,180
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,157,-106,16,5,0,0,-1,36.2967,15.4577,5.57302,0,0,180
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,True,1,-104,7044,1440,1,63,-1,23.0052,6361.4,1538.53,1.32409,61.1531,180
