mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
64:16:66:3b:b8:df,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,1982784,-69,-66,72.2,21.7,72673,31406822,82975,19629963,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:46:5a:e8:7e:02,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,38582,-65,-75,360.3,12.0,5160,1135533,6379,5706310,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:e0:15:56,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,23104,-72,-71,81.0,60.0,17095,2683801,15494,1449185,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:52:1c:41:58:40,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,2009669,-57,-52,48.0,28.9,623051,115714249,619555,180166530,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
38:f7:3d:a5:04:5b,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,473941,-53,-52,65.0,1.0,366437,59555513,529944,502433019,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:67:05,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,336494,-57,-55,65.0,65.0,26843,4774845,25479,2566427,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:03:7a,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,336455,-54,-53,65.0,65.0,26148,4577430,24875,2467248,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c8:f1:9e,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,336426,-43,-42,65.0,65.0,27339,4872671,25933,2679831,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:5a:e8,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,286089,-56,-54,65.0,65.0,21988,3848625,20918,2063540,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
18:b4:30:69:54:fd,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,86172,-69,-68,52.0,13.0,141046,19990018,130386,10520432,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
30:45:11:4a:8f:38,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,25209,-71,-74,58.5,1.0,1885,141934,962,106284,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:65:53,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,1440,-56,-55,65.0,65.0,120,22536,115,11310,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a2:b8:5c:d7:8c:70,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,1385,-69,-68,65.0,57.8,170,26839,137,31331,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:df:84:60:bb:48,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin Guest,22449,-67,-73,11.0,58.5,28615,1306595,14920,3280903,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
50:02:91:dc:c7:d7,Steve Martin,Steve's house,903cb36ae435,EAP-101Prod,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,2G,2 GHz,2009685,-49,-48,48.0,43.3,695404,150712554,659475,182910358,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
66:a8:da:24:57:03,Temple Buildings,Temple Rochester,903cb36c478e,AP0203,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Temple Building WiFi,95,-58,-57,243.0,360.0,1269,245525,1245,797636,D-1211,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
66:a8:da:24:57:03,Temple Buildings,Temple Rochester,903cb3bb242b,AP0201,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Temple Building WiFi,71406,-50,-49,324.0,54.0,568304,56679146,1192149,1673742848,D-1211,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
