mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5421358,62.75,2,0.045411,0.03418,0.001465,37.83,62.17,1,7,14,1,40,149,80,5,160,auto,auto,5,40,80,160,12.064568,1,2500,full
903cb32d3486,AP0407,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4680418,54.17,18,0.717296,0.648936,0.704112,57.52,42.48,2,2,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,13.064568,1,1000,full
903cb32d3530,AP0403,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5266461,60.95,1,0,0,0,25.18,74.82,2,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-10.935432,1,1000,full
903cb32d3788,AP0815,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5008989,57.97,1,0.013672,0.023438,0,19.09,80.91,2,2,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,1.064568,1,1000,full
903cb352a00b,AP1205,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4930204,57.06,1,0,0,0,19.52,80.48,2,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-18.935432,1,1000,full
903cb36ae435,EAP-101Prod,Steve Martin,Steve's house,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4624462,53.52,1,0.025391,0.043458,0.003418,47.94,52.06,1,6,1,11,40,36,80,0,0,auto,auto,unknown,40,80,unknown,7.064568,1,1000,full
903cb36c44cd,AP0405,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,820123,9.49,1,0,0,0,19.64,80.36,2,2,0,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,3.064568,1,1000,full
903cb36c459a,AP1200,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4929497,57.05,1,0.036622,0.045411,0.001953,22.93,77.07,2,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-5.935432,1,1000,full
903cb36c4766,AP1207,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4930193,57.06,1,0.05127,0.021485,0.00293,18.56,81.44,2,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-0.935432,1,1000,full
903cb36c478e,AP0203,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4828445,55.88,2,0.030274,0.045411,0,22.55,77.45,2,2,2,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-53.935432,1,1000,full
903cb39d6960,EAP-102Prod,Steve Martin,Steve's house,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 21,4624468,53.52,2,0.000488,0,0,54.41,45.59,1,6,3,11,40,36,80,0,0,auto,auto,unknown,40,80,unknown,3.064568,1,1000,full
903cb3b16ed3,AP-6ed3,Team Truminds,Truminds GGN GFloor,edgecore_eap101,Shasta-AP-NOS Rel 1.5 build 39,91278,1.06,1,0.002441,0.000488,0,17.22,82.78,2,2,0,6,20,52,80,0,0,6,157,unknown,20,80,unknown,-17.935432,1,100,full
903cb3bb1cb0,AP1201,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4935268,57.12,2,0.003418,0.02295,0,18.57,81.43,2,2,1,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-17.935432,1,1000,full
903cb3bb1d0f,AP0701,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,1042336,12.06,2,0.022461,0.02295,0,19.2,80.8,2,2,2,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-1.935432,1,1000,full
903cb3bb1d5f,AP0820,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5007758,57.96,1,0.01709,0.016114,0,18.91,81.09,2,2,0,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-52.935432,1,1000,full
903cb3bb1d78,AP0703,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5367596,62.12,2,0.056153,0.049805,0.010254,20.06,79.94,2,2,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-45.935432,1,1000,full
903cb3bb1e31,AP01-STE1,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5018986,58.09,2,0.027344,0.028321,0,26.79,73.21,2,2,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-43.935432,1,1000,full
903cb3bb1f21,AP01-Lobby,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,5019005,58.09,2,0.098634,0.043458,0.005371,26.08,73.92,2,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-60.935432,1,1000,full
