mac,name,org,venue,model,firmware,band,ssid,bssid,in_network,channel,rssi,last_seen_secs_ago
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5 GHz,96:3c:b3:9d:69:62,True,36,-76,36
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5 GHz,96:3c:b3:6a:e4:39,True,36,-86,36
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5G DF,cc:cf:83:ea:bf:eb,False,149,-22,80
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Dogfood,ce:cf:83:ea:bf:eb,False,149,-22,109
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin Guest,92:3c:b3:6a:e4:39,True,36,-87,36
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin Guest,92:3c:b3:9d:69:62,True,36,-76,182
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin_PSK,90:3c:b3:9d:69:62,True,36,-76,80
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin_PSK,90:3c:b3:6a:e4:39,True,36,-87,347
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,2 GHz,96:3c:b3:6a:e4:38,True,1,-70,80
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,2 GHz,96:3c:b3:9d:69:63,True,11,-61,183
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,2G DF,cc:cf:83:ea:bf:ea,False,6,-12,391
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,ATTjrahags,b0:5d:d4:d5:73:f0,False,1,-91,81
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Dogfood,ce:cf:83:ea:bf:ea,False,6,-11,36
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Martin Guest,92:3c:b3:9d:69:63,True,11,-61,142
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Martin Guest,92:3c:b3:6a:e4:38,True,1,-69,391
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Martin_PSK,90:3c:b3:6a:e4:38,True,1,-68,222
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Martin_PSK,90:3c:b3:9d:69:63,True,11,-61,1923
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Mentone House,d2:36:76:21:fc:22,False,11,-86,109
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Office Pod,b0:6a:41:d9:52:b0,False,6,-83,109
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Office Pod,9c:4f:5f:40:db:48,False,11,-83,1800
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Office Pod,9c:4f:5f:40:d9:c7,False,11,-88,6485
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Ruckus_PSK,ec:8c:a2:0c:3f:18,False,3,-36,2049
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,Ruckus_PSK,f8:e7:1e:1b:61:18,False,4,-68,6277
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,SpectrumSetup-71,14:7d:05:4c:a8:73,False,1,-90,182
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,SpectrumSetup-82,0e:5a:25:21:f1:83,False,1,-86,81
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,SpectrumSetup-B0_EXT,c0:ff:d4:cd:eb:44,False,1,-91,6566
